PropertyType,ClassName,Element,Role
gco:Integer_PropertyType,MD_Band,,toneGradation
gco:Integer_PropertyType,MD_FeatureTypeInfo,,featureInstanceCount
gco:Integer_PropertyType,MD_ImageDescription,,compressionGenerationQuantity
gco:Integer_PropertyType,MD_SampleDimension,,numberOfValues
gco:Integer_PropertyType,MD_SampleDimension,,bitsPerValue
gco:RecordType_PropertyType,MD_CoverageDescription,,attributeDescription
gco:RecordType_PropertyType,MD_SampleDimension,,otherPropertyType
mcc:MD_Identifier_PropertyType,MD_CoverageDescription,,processingLevelCode
mcc:MD_Identifier_PropertyType,MD_ImageDescription,,imageQualityCode
mcc:MD_Identifier_PropertyType,MD_RangeDimension,attribute,name
mrc:MD_AttributeGroup_PropertyType,MD_CoverageDescription,,attributeGroup
fcc:Abstract_FeatureCatalogue_PropertyType,MD_FeatureCatalogue,,featureCatalogue
gco:Boolean_PropertyType,MD_FeatureCatalogueDescription,,complianceCode
gco:Boolean_PropertyType,MD_FeatureCatalogueDescription,,includedWithDataset
gco:Boolean_PropertyType,MD_ImageDescription,,triangulationIndicator
gco:Boolean_PropertyType,MD_ImageDescription,,radiometricCalibrationDataAvailability
gco:Boolean_PropertyType,MD_ImageDescription,,cameraCalibrationInformationAvailability
gco:Boolean_PropertyType,MD_ImageDescription,,filmDistortionInformationAvailability
gco:Boolean_PropertyType,MD_ImageDescription,,lensDistortionInformationAvailability
lan:PT_Locale_PropertyType,MD_FeatureCatalogueDescription,,locale
mrc:MD_FeatureTypeInfo_PropertyType,MD_FeatureCatalogueDescription,,featureTypes
mcc:Abstract_Citation_PropertyType,MD_AssociatedResource,associatedResource,metadataReference
gco:GenericName_PropertyType,MD_FeatureTypeInfo,,featureTypeName
mrc:MD_ImagingConditionCode_PropertyType,MD_ImageDescription,,imagingCondition
gco:MemberName_PropertyType,MD_RangeDimension,attribute,sequenceIdentifier
gco:CharacterString_PropertyType,MD_RangeDimension,attribute,description
gmw:UnitOfMeasure_PropertyType,MD_SampleDimension,,units
gco:Record_PropertyType,MD_SampleDimension,,otherProperty
gco:CharacterString_PropertyType,MD_DigitalTransferOptions,transferOptions,unitsOfDistribution
gco:CharacterString_PropertyType,MD_Distribution,,description
gco:CharacterString_PropertyType,MD_Format,distributionFormat,amendmentNumber
gco:CharacterString_PropertyType,MD_Format,distributionFormat,fileDecompressionTechnique
gco:CharacterString_PropertyType,MD_Medium,offLine,densityUnits
gco:CharacterString_PropertyType,MD_Medium,offLine,mediumNote
gco:CharacterString_PropertyType,MD_StandardOrderProcess,,fees
gco:CharacterString_PropertyType,MD_StandardOrderProcess,,orderingInstructions
gco:CharacterString_PropertyType,MD_StandardOrderProcess,,turnaround
gco:Real_PropertyType,MD_DigitalTransferOptions,transferOptions,transferSize
gco:Real_PropertyType,MD_Medium,offLine,density
mcc:Abstract_OnlineResource_PropertyType,MD_DigitalTransferOptions,transferOptions,onLine
mrd:MD_Medium_PropertyType,MD_DigitalTransferOptions,transferOptions,offLine
mrd:MD_Medium_PropertyType,MD_Format,distributionFormat,medium
gco:TM_PeriodDuration_PropertyType,MD_DigitalTransferOptions,transferOptions,transferFrequency
mrd:MD_Format_PropertyType,MD_DigitalTransferOptions,transferOptions,distributionFormat
mcc:Abstract_Format_PropertyType,MD_Distribution,,distributionFormat
mcc:Abstract_Format_PropertyType,MD_Distributor,distributor,distributorFormat
mrd:MD_Distributor_PropertyType,MD_Distribution,,distributor
mrd:MD_Distributor_PropertyType,MD_Format,distributionFormat,formatDistributor
mrd:MD_DigitalTransferOptions_PropertyType,MD_Distribution,,transferOptions
mrd:MD_DigitalTransferOptions_PropertyType,MD_Distributor,distributor,distributorTransferOptions
mcc:Abstract_Responsibility_PropertyType,MD_Metadata,,contact
mcc:Abstract_StandardOrderProcess_PropertyType,MD_Distributor,distributor,distributionOrderProcess
mcc:Abstract_Citation_PropertyType,MD_Constraints,,reference
mcc:Abstract_Citation_PropertyType,MD_FeatureCatalogueDescription,,featureCatalogueCitation
gco:Integer_PropertyType,MD_Medium,offLine,volumes
